humidity_inside,temperature_inside,co2_inside,temperature_heater,temperature_wall_inside,state_air_quality
51.11,23.371,1880,46.687,12.375,1
51.83,23.479,2172,43.125,12.312,2
55.24,19.618,1328,25.312,10.25,1
41.62,17.648,433,20.375,10.25,1
49.23,20.567,1011,45.0,11.25,1
49.07,23.225,1973,44.625,12.125,1
49.06,23.018,1872,43.125,12.062,1
49.71,23.414,2090,44.562,12.25,2
49.61,23.418,2138,47.875,12.375,2
54.93,23.334,2196,42.437,12.25,2
53.8,23.369,2374,45.562,12.375,2
53.46,23.737,2566,48.562,12.625,2
54.09,19.601,1315,29.437,10.0,1
53.5,21.479,1624,48.75,11.125,1
39.49,20.887,678,48.562,10.937,1
42.72,22.977,962,47.75,11.625,1
44.92,23.066,1131,45.125,11.562,1
46.54,23.011,1427,45.937,11.687,1
44.81,23.249,1340,48.125,11.75,1
54.6,23.346,1547,48.687,11.937,1
57.39,23.287,1716,45.312,11.875,1
60.38,23.714,1994,47.625,12.187,1
58.54,20.573,1125,37.75,10.625,1
39.77,19.331,543,29.5,10.125,1
47.96,20.558,709,45.562,10.687,1
46.32,22.727,945,47.0,11.437,1
44.42,22.624,800,43.375,11.437,1
44.88,23.257,959,48.437,11.812,1
46.48,22.922,1197,45.5,11.75,1
47.16,23.456,1460,46.187,11.937,1
48.11,23.221,1517,48.437,11.937,1
49.89,23.043,1778,43.0,11.875,1
52.18,19.218,1105,27.5,9.062,1
41.35,18.753,817,25.625,9.25,1
39.49,20.434,786,51.812,10.25,1
40.54,22.628,967,46.187,10.875,1
42.29,22.133,1082,45.562,10.75,1
39.72,22.397,970,44.25,10.75,1
41.01,22.943,1159,49.625,11.062,1
42.42,22.97,1314,47.375,11.062,1
44.56,22.915,1519,45.0,11.062,1
45.56,23.114,1742,44.812,11.187,1
50.48,18.918,1054,24.062,8.937,1
52.13,18.944,1259,23.375,8.937,1
40.66,20.044,828,50.5,10.125,1
41.24,23.624,1122,41.437,11.125,1
43.18,23.419,1282,43.625,11.187,1
44.55,22.627,1367,43.625,11.0,1
45.68,22.984,1603,45.562,11.437,1
45.05,23.08,1565,47.937,11.625,1
46.75,23.266,1898,46.437,11.812,1
47.59,23.342,2084,48.75,11.937,2
50.61,19.119,1357,36.5,9.062,1
37.25,21.731,1234,48.75,10.0,1
42.46,22.06,1173,46.937,10.312,1
46.66,22.596,1961,29.875,10.187,1
47.6,22.623,2106,37.312,10.312,2
48.24,22.557,2299,39.25,10.375,2
46.9,23.359,2362,49.062,10.875,2
47.25,23.384,2411,47.312,11.0,2
47.61,23.661,2625,45.75,11.25,2
48.41,23.804,2721,48.625,11.375,2
46.02,21.583,1228,39.812,9.937,1
48.2,21.785,1685,38.0,9.812,1
34.12,21.343,632,48.187,9.812,1
43.29,22.764,1518,29.687,10.062,1
44.24,23.131,1746,35.125,10.312,1
45.71,22.511,1785,41.812,10.375,1
47.98,22.727,2075,40.812,10.625,2
48.09,22.856,2245,42.25,10.875,2
48.07,22.837,2328,41.437,11.0,2
49.05,22.831,2469,40.687,11.062,2
41.8,23.089,913,46.437,11.125,1
44.44,23.146,1442,44.062,11.125,1
42.02,22.019,902,43.687,10.812,1
43.31,23.746,1310,47.25,11.437,1
44.51,24.037,1692,46.375,11.625,1
47.64,24.313,2364,44.062,11.687,2
48.47,24.502,2929,42.875,11.812,2
45.78,23.571,1817,42.625,11.562,1
47.4,23.759,2097,43.375,11.687,2
48.01,23.857,2288,43.5,11.75,2
49.98,19.504,1008,37.437,9.812,1
46.68,22.162,1264,48.625,11.125,1
44.81,22.368,1095,48.875,11.187,1
48.97,22.381,1563,40.812,11.25,1
48.27,22.353,1502,41.375,11.312,1
49.02,22.466,1700,41.562,11.437,1
49.64,22.416,1841,43.0,11.437,1
47.86,22.949,1742,46.812,11.75,1
48.59,23.165,1999,46.625,11.875,1
49.22,23.283,2138,47.625,12.0,2
50.51,20.005,1105,44.875,10.312,1
43.31,21.095,780,45.937,10.812,1
45.94,21.83,1113,44.937,11.125,1
44.01,21.945,851,40.75,11.0,1
45.75,22.111,1036,30.5,10.875,1
45.35,22.205,1115,42.187,11.187,1
46.72,22.144,1248,43.625,11.25,1
48.18,22.247,1540,42.437,11.312,1
54.61,22.326,1601,41.5,11.375,1
59.01,22.394,1850,38.75,11.437,1
55.58,20.069,991,48.812,10.0,1
50.69,21.964,1200,45.187,10.187,1
46.24,21.415,803,45.937,10.375,1
45.5,22.131,1011,31.937,10.625,1
42.92,22.99,944,26.562,10.875,1
45.16,22.325,1091,31.625,10.75,1
45.88,22.288,1182,45.5,11.125,1
48.05,22.193,1506,40.687,11.375,1
48.14,22.523,1614,44.062,11.687,1
49.31,22.425,1703,46.312,11.875,1
50.58,19.132,1093,25.875,9.312,1
40.66,17.194,663,17.062,9.062,1
38.68,20.066,655,43.937,10.312,1
41.65,22.345,1176,35.312,11.125,1
41.97,22.843,1249,31.812,11.25,1
42.98,22.486,1322,33.375,11.062,1
44.09,22.416,1432,43.812,11.437,1
45.84,22.557,1689,43.875,11.687,1
46.15,22.443,1752,42.875,11.875,1
47.15,22.573,1925,43.812,12.125,1
44.28,20.304,788,34.312,10.875,1
37.3,20.337,410,50.75,11.125,1
40.62,21.877,759,47.062,11.5,1
43.35,23.458,1234,50.0,11.937,1
44.79,23.365,1404,46.375,11.875,1
42.76,23.219,1202,49.187,11.937,1
44.88,23.436,1487,46.312,12.062,1
45.23,23.45,1591,45.687,12.062,1
45.99,23.452,1778,44.687,12.062,1
45.13,23.412,1409,45.875,12.187,1
44.78,20.664,999,34.25,11.562,1
42.07,22.222,744,46.125,12.187,1
46.29,22.777,1256,44.187,12.437,1
49.69,23.398,1772,37.125,12.5,1
48.75,22.995,1537,39.5,12.5,1
48.96,23.493,1771,39.875,12.75,1
49.05,23.168,1789,45.437,12.875,1
49.11,23.277,1896,42.25,12.937,1
49.09,23.534,1995,44.0,13.187,1
50.0,23.634,2136,44.062,13.25,2
49.6,19.762,995,24.125,10.375,1
47.47,21.199,1040,47.75,11.5,1
38.87,21.456,467,49.375,11.625,1
42.47,23.389,1061,42.625,12.25,1
43.3,23.273,1112,43.625,12.25,1
45.16,23.456,1263,44.062,12.5,1
47.03,23.439,1402,45.812,12.625,1
47.58,23.471,1484,47.0,12.75,1
48.62,23.819,1716,45.812,12.937,1
49.64,24.011,1866,47.375,13.187,1
46.83,21.146,934,40.625,11.375,1
45.86,22.577,1236,45.625,11.937,1
43.66,22.463,1067,44.062,11.75,1
37.8,22.298,574,35.5,11.687,1
41.63,23.316,1090,36.437,12.062,1
44.05,23.055,1432,42.187,12.375,1
44.52,22.809,1413,42.187,12.437,1
45.62,23.294,1628,44.0,12.812,1
46.35,23.088,1423,45.875,12.875,1
59.17,23.683,1692,48.25,13.25,1
60.31,20.613,748,34.75,11.562,1
55.49,21.859,1118,45.187,12.0,1
34.53,20.831,424,41.062,11.312,1
47.06,22.482,922,41.062,12.375,1
47.41,22.655,1073,41.375,12.562,1
48.26,22.617,1250,39.812,12.625,1
47.02,23.134,1413,45.562,12.875,1
45.85,22.823,1143,45.0,12.937,1
47.11,22.999,1408,46.5,13.062,1
48.59,23.08,1608,41.75,13.125,1
49.91,19.738,1006,33.5,10.5,1
50.13,21.707,1396,44.75,11.687,1
45.62,21.896,821,44.625,11.625,1
43.73,22.776,632,35.937,11.75,1
39.56,22.561,575,33.562,11.875,1
41.12,22.751,817,39.812,12.25,1
42.99,22.33,931,41.625,12.312,1
44.13,22.964,1174,43.062,12.687,1
44.86,23.254,1385,45.062,12.937,1
46.04,23.399,1527,46.0,13.062,1
46.62,19.718,712,25.312,10.5,1
46.45,19.754,711,23.625,10.437,1
47.9,21.415,1089,46.625,11.687,1
42.06,22.431,833,29.937,11.625,1
40.98,22.93,937,36.187,12.125,1
42.6,22.722,1060,40.437,12.062,1
42.53,22.551,1121,42.687,12.25,1
43.66,22.267,1229,41.812,12.187,1
41.58,22.372,1076,40.625,12.375,1
43.5,22.593,1286,41.187,12.5,1
45.53,19.513,698,28.312,10.062,1
45.66,19.514,799,36.562,10.25,1
46.37,21.889,1556,46.062,11.5,1
40.29,22.108,744,29.75,11.187,1
37.25,22.721,788,35.375,11.687,1
40.29,22.64,815,37.062,11.75,1
40.54,23.031,938,34.125,11.875,1
42.08,22.644,1109,44.125,12.062,1
42.5,23.299,1331,47.5,12.437,1
44.48,23.202,1527,47.187,12.5,1
46.49,19.516,950,23.875,10.0,1
46.35,19.446,946,23.5,9.812,1
45.56,21.921,1260,52.625,11.562,1
36.91,22.323,753,32.312,11.25,1
37.43,22.537,889,31.562,11.5,1
38.04,22.938,958,33.312,11.687,1
39.25,22.996,1149,34.312,11.812,1
38.5,22.148,1025,43.75,11.875,1
40.79,22.938,1340,42.562,12.187,1
41.81,23.219,1442,45.937,12.437,1
43.14,19.295,670,26.125,9.375,1
42.9,19.202,641,24.125,9.187,1
41.06,21.292,958,47.5,10.687,1
35.93,22.766,779,46.937,11.0,1
34.83,23.798,799,36.187,11.125,1
35.16,24.089,900,39.25,11.25,1
36.44,23.888,1027,38.25,11.187,1
38.12,22.777,1106,41.375,11.187,1
38.97,23.293,1220,48.625,11.625,1
40.01,23.284,1332,47.937,11.75,1
39.88,21.927,778,40.0,10.687,1
39.39,22.083,764,41.812,10.625,1
40.37,22.223,1049,41.937,10.5,1
38.32,22.698,966,36.25,10.375,1
36.32,22.107,864,34.187,10.25,1
36.88,22.839,987,45.437,10.687,1
36.95,22.629,1009,47.062,10.75,1
36.71,22.331,980,45.562,10.625,1
48.79,23.136,1312,48.187,11.062,1
50.77,23.126,1363,47.937,11.062,1
43.83,21.127,686,39.562,9.687,1
43.14,21.158,690,40.062,9.625,1
44.53,21.312,1033,37.437,9.562,1
41.8,23.009,1055,48.437,10.187,1
40.28,23.682,1076,39.437,10.187,1
39.14,23.271,987,49.875,10.187,1
40.96,23.127,1170,47.375,10.25,1
42.18,23.072,1389,45.375,10.312,1
42.52,23.49,1544,50.25,10.625,1
42.86,23.622,1640,49.875,10.687,1
40.05,22.061,742,45.312,9.562,1
40.08,21.927,742,42.062,9.375,1
41.77,21.938,1124,41.75,9.312,1
36.45,21.32,645,33.312,8.812,1
37.12,21.966,792,30.437,9.062,1
37.92,21.714,891,24.312,8.937,1
37.89,23.263,1165,52.25,10.062,1
39.82,23.043,1348,48.812,10.0,1
39.76,23.508,1470,51.375,10.312,1
40.54,23.812,1701,51.562,10.625,1
