,Time,Inverter,AcFreq,AcPower,Edaily,Eint,Etotal,Riso,Error,Status,Temp1,Temp2,Dci,Dcp,Dcu,Aci,Acp,Acu,Inverter_string,StringNumber_string,Used_string,Azimuth_string,Elevation_string,SingleModulePower_string,StringCount_string,ModulesPerString_string,ModulePower_string,Installation_string,ModuleManufacturer_string,ModuleType_string,AnalysisGroup_string,Inverter_inverter,Azimuth_inverter,Elevation_inverter,Power_inverter,ModulePower_inverter,InverterManufacturer_inverter,InverterType_inverter,ModuleManufacturer_inverter,ModuleType_inverter,AnalysisGroup_inverter,Plant_plant,PostalCode_plant,City_plant,Street_plant,Latitude_plant,Longitude_plant,ModulArea_plant,SpecificEnergyExpected_plant,StartupDate_plant,TotalPower_plant,string_id,tags
242,20.01.21 08:40,WR 3 Diehl,,32.0,0.003,,,,,MPP,6.0,,0.0053908355,2,371,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
243,20.01.21 08:45,WR 3 Diehl,,51.0,0.008,,,,,MPP,6.0,,0.021505376,10,465,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
244,20.01.21 08:50,WR 3 Diehl,,67.0,0.013000000000000001,,,,,MPP,7.0,,0.034552846,17,492,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
245,20.01.21 08:55,WR 3 Diehl,,101.0,0.022000000000000002,,,,,MPP,8.0,,0.06214689,33,531,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
246,20.01.21 09:00,WR 3 Diehl,,134.0,0.033,,,,,MPP,8.0,,0.08892922,49,551,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
247,20.01.21 09:05,WR 3 Diehl,,157.0,0.046,,,,,MPP,8.0,,0.106571935,60,563,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
248,20.01.21 09:10,WR 3 Diehl,,171.0,0.061,,,,,MPP,8.0,,0.11795775,67,568,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
249,20.01.21 09:15,WR 3 Diehl,,187.0,0.076,,,,,MPP,8.0,,0.13309982,76,571,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
250,20.01.21 09:20,WR 3 Diehl,,219.0,0.095,,,,,MPP,9.0,,0.15753424,92,584,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
251,20.01.21 09:25,WR 3 Diehl,,241.0,0.115,,,,,MPP,10.0,,0.17717206,104,587,,,,WR 3 Diehl,1,True,230,20,245,1,21,5145,Schrägdach,Suntech,STP 245,südwestl-Eingänge,WR 3 Diehl,227,20,10000,10290,Danfoss,IBC Servmaster 10.000TL,Suntech Power,STP 245-20/Wd (poly),südwestl-WR,2134-SP-Lenbachstr-Banane1,65428,Rüsselsheim,Lenbachstr. 17 - 27,49.9887921042,8.4422962666,417.18,900.0,31.10.12 00:00,61.74,600a4c362671ca676a1ece2855a46bb1,
